transaction_id,injected_error_type,true_label,true_expected_net,true_explanation
TXN100056,DUPLICATE,EXCEPTION,1355.11,Duplicate payment record for same transaction.
TXN100057,CLEAN,MATCH,15947.23,"Clean transaction, no discrepancy."
TXN100058,CLEAN,MATCH,28316.01,"Clean transaction, no discrepancy."
TXN100059,CLEAN,MATCH,29900.66,"Clean transaction, no discrepancy."
TXN100060,CLEAN,MATCH,38045.31,"Clean transaction, no discrepancy."
TXN100061,FEE_MISMATCH,EXCEPTION,40151.52,Applied fee 1272.74 does not match configured fee schedule (992.61).
TXN100062,CLEAN,MATCH,35749.79,"Clean transaction, no discrepancy."
TXN100063,CLEAN,MATCH,57991.35,"Clean transaction, no discrepancy."
TXN100064,DATE_ANOMALY_BAD,EXCEPTION,46828.23,Settlement delayed far beyond normal processing window; requires review.
TXN100065,CLEAN,MATCH,52334.73,"Clean transaction, no discrepancy."
TXN100066,FEE_MISMATCH,EXCEPTION,42667.63,Applied fee 1203.26 does not match configured fee schedule (1054.5).
TXN100067,CLEAN,MATCH,40497.0,"Clean transaction, no discrepancy."
TXN100068,BANK_AMOUNT_MISMATCH,EXCEPTION,25723.69,Bank credited 25968.42 instead of the settled net 25723.69.
TXN100069,CLEAN,MATCH,20925.75,"Clean transaction, no discrepancy."
TXN100070,CLEAN,MATCH,20856.7,"Clean transaction, no discrepancy."
TXN100071,CLEAN,MATCH,13576.95,"Clean transaction, no discrepancy."
TXN100072,CLEAN,MATCH,45046.81,"Clean transaction, no discrepancy."
TXN100073,CLEAN,MATCH,2163.96,"Clean transaction, no discrepancy."
TXN100074,CLEAN,MATCH,841.08,"Clean transaction, no discrepancy."
TXN100075,CLEAN,MATCH,8780.1,"Clean transaction, no discrepancy."
TXN100076,MISSING_SETTLEMENT,EXCEPTION,24755.55,Settlement record missing entirely.
TXN100077,CLEAN,MATCH,45519.85,"Clean transaction, no discrepancy."
TXN100078,MISSING_BANK_CREDIT,EXCEPTION,9658.67,Settlement was booked but no corresponding bank credit was ever received.
TXN100079,DATE_ANOMALY_NORMAL,MATCH,26155.12,Settlement delayed by a few days; within normal processing window.
TXN100080,CLEAN,MATCH,44497.29,"Clean transaction, no discrepancy."
TXN100081,CLEAN,MATCH,39774.11,"Clean transaction, no discrepancy."
TXN100082,CLEAN,MATCH,13274.53,"Clean transaction, no discrepancy."
TXN100083,CLEAN,MATCH,55246.85,"Clean transaction, no discrepancy."
TXN100084,IDENTITY_NOISE,MATCH,942.6,Merchant name differs only by formatting/legal-suffix noise; same entity.
TXN100085,AMOUNT_MISMATCH,EXCEPTION,4665.31,Unexplained settlement drift of -58.43 not attributable to fee/tax.
TXN100086,TAX_RECORD_MISSING,EXCEPTION,41504.64,No separate tax record was filed for this transaction (compliance gap).
TXN100087,CLEAN,MATCH,56522.19,"Clean transaction, no discrepancy."
TXN100088,TAX_MISMATCH,EXCEPTION,26006.2,Applied GST 22.44 does not match expected GST (72.94).
TXN100089,CLEAN,MATCH,50815.44,"Clean transaction, no discrepancy."
TXN100090,BANK_AMOUNT_MISMATCH,EXCEPTION,30316.36,Bank credited 30544.84 instead of the settled net 30316.36.
TXN100091,MISSING_SETTLEMENT,EXCEPTION,6482.57,Settlement record missing entirely.
TXN100092,TAX_MISMATCH,EXCEPTION,10840.88,Applied GST 0 does not match expected GST (30.4).
TXN100093,CLEAN,MATCH,50587.04,"Clean transaction, no discrepancy."
TXN100094,CLEAN,MATCH,27888.05,"Clean transaction, no discrepancy."
TXN100095,CLEAN,MATCH,29897.16,"Clean transaction, no discrepancy."
TXN100096,CLEAN,MATCH,21870.88,"Clean transaction, no discrepancy."
TXN100097,CLEAN,MATCH,27234.9,"Clean transaction, no discrepancy."
TXN100098,CLEAN,MATCH,19232.41,"Clean transaction, no discrepancy."
TXN100099,CLEAN,MATCH,6527.53,"Clean transaction, no discrepancy."
TXN100100,CLEAN,MATCH,14853.53,"Clean transaction, no discrepancy."
TXN100101,LEDGER_MISMATCH,EXCEPTION,22101.14,Merchant ledger booked 22294.21 instead of the settled net 22101.14.
TXN100102,CLEAN,MATCH,4308.02,"Clean transaction, no discrepancy."
TXN100103,CLEAN,MATCH,15084.22,"Clean transaction, no discrepancy."
TXN100104,CLEAN,MATCH,53890.21,"Clean transaction, no discrepancy."
TXN100105,CLEAN,MATCH,35150.8,"Clean transaction, no discrepancy."
TXN100106,CLEAN,MATCH,47626.99,"Clean transaction, no discrepancy."
TXN100107,TAX_RECORD_MISSING,EXCEPTION,1543.95,No separate tax record was filed for this transaction (compliance gap).
TXN100108,CLEAN,MATCH,11694.68,"Clean transaction, no discrepancy."
TXN100109,CLEAN,MATCH,30153.14,"Clean transaction, no discrepancy."
TXN100110,CLEAN,MATCH,51291.12,"Clean transaction, no discrepancy."
TXN100111,CLEAN,MATCH,9940.44,"Clean transaction, no discrepancy."
TXN100112,CLEAN,MATCH,21544.52,"Clean transaction, no discrepancy."
TXN100113,MISSING_SETTLEMENT,EXCEPTION,14146.67,Settlement record missing entirely.
TXN100114,CLEAN,MATCH,39808.2,"Clean transaction, no discrepancy."
TXN100115,LEDGER_MISMATCH,EXCEPTION,29559.06,Merchant ledger booked 29223.15 instead of the settled net 29559.06.
TXN100116,DUPLICATE,EXCEPTION,51518.87,Duplicate payment record for same transaction.
TXN100117,CLEAN,MATCH,5345.44,"Clean transaction, no discrepancy."
TXN100118,CLEAN,MATCH,5783.06,"Clean transaction, no discrepancy."
TXN100119,DATE_ANOMALY_BAD,EXCEPTION,3559.42,Settlement delayed far beyond normal processing window; requires review.
TXN100120,LEDGER_MISMATCH,EXCEPTION,13503.52,Merchant ledger booked 13847.23 instead of the settled net 13503.52.
TXN100121,FEE_MISMATCH,EXCEPTION,17123.3,Applied fee 640.82 does not match configured fee schedule (377.98).
TXN100122,CLEAN,MATCH,53022.49,"Clean transaction, no discrepancy."
TXN100123,CLEAN,MATCH,6909.05,"Clean transaction, no discrepancy."
TXN100124,BANK_AMOUNT_MISMATCH,EXCEPTION,14313.9,Bank credited 14103.91 instead of the settled net 14313.9.
TXN100125,LEDGER_MISMATCH,EXCEPTION,42375.52,Merchant ledger booked 42426.07 instead of the settled net 42375.52.
TXN100126,MISSING_BANK_CREDIT,EXCEPTION,39189.29,Settlement was booked but no corresponding bank credit was ever received.
TXN100127,CLEAN,MATCH,23130.37,"Clean transaction, no discrepancy."
TXN100128,CLEAN,MATCH,15191.1,"Clean transaction, no discrepancy."
TXN100129,IDENTITY_NOISE,MATCH,43214.74,Merchant name differs only by formatting/legal-suffix noise; same entity.
TXN100130,CLEAN,MATCH,32139.25,"Clean transaction, no discrepancy."
TXN100131,CLEAN,MATCH,37367.77,"Clean transaction, no discrepancy."
TXN100132,MISSING_BANK_CREDIT,EXCEPTION,12164.4,Settlement was booked but no corresponding bank credit was ever received.
TXN100133,CLEAN,MATCH,57673.03,"Clean transaction, no discrepancy."
TXN100134,CLEAN,MATCH,17167.94,"Clean transaction, no discrepancy."
TXN100135,CLEAN,MATCH,47193.18,"Clean transaction, no discrepancy."
TXN100136,TAX_MISMATCH,EXCEPTION,56933.32,Applied GST 174.48 does not match expected GST (229.31).
TXN100137,CLEAN,MATCH,42971.27,"Clean transaction, no discrepancy."
TXN100138,MISSING_SETTLEMENT,EXCEPTION,19093.69,Settlement record missing entirely.
TXN100139,MISSING_BANK_CREDIT,EXCEPTION,26317.48,Settlement was booked but no corresponding bank credit was ever received.
TXN100140,MISSING_BANK_CREDIT,EXCEPTION,2957.57,Settlement was booked but no corresponding bank credit was ever received.
TXN100141,CLEAN,MATCH,4837.22,"Clean transaction, no discrepancy."
TXN100142,CLEAN,MATCH,8765.87,"Clean transaction, no discrepancy."
TXN100143,CLEAN,MATCH,4405.86,"Clean transaction, no discrepancy."
TXN100144,DATE_ANOMALY_NORMAL,MATCH,35579.0,Settlement delayed by a few days; within normal processing window.
TXN100145,LEDGER_MISMATCH,EXCEPTION,31330.67,Merchant ledger booked 31053.32 instead of the settled net 31330.67.
TXN100146,CLEAN,MATCH,29558.94,"Clean transaction, no discrepancy."
TXN100147,DATE_ANOMALY_NORMAL,MATCH,41269.79,Settlement delayed by a few days; within normal processing window.
TXN100148,DATE_ANOMALY_NORMAL,MATCH,8421.01,Settlement delayed by a few days; within normal processing window.
TXN100149,AMOUNT_MISMATCH,EXCEPTION,39201.42,Unexplained settlement drift of 293.98 not attributable to fee/tax.
TXN100150,AMOUNT_MISMATCH,EXCEPTION,29979.41,Unexplained settlement drift of -406.43 not attributable to fee/tax.
TXN100151,CLEAN,MATCH,32603.45,"Clean transaction, no discrepancy."
TXN100152,CLEAN,MATCH,4332.36,"Clean transaction, no discrepancy."
TXN100153,CLEAN,MATCH,48087.11,"Clean transaction, no discrepancy."
TXN100154,CLEAN,MATCH,27681.77,"Clean transaction, no discrepancy."
TXN100155,CLEAN,MATCH,25689.62,"Clean transaction, no discrepancy."
TXN100156,CLEAN,MATCH,10024.92,"Clean transaction, no discrepancy."
TXN100157,TAX_MISMATCH,EXCEPTION,49489.44,Applied GST 140.51 does not match expected GST (204.96).
TXN100158,CLEAN,MATCH,36897.22,"Clean transaction, no discrepancy."
TXN100159,CLEAN,MATCH,10461.98,"Clean transaction, no discrepancy."
TXN100160,CLEAN,MATCH,48346.67,"Clean transaction, no discrepancy."
TXN100161,CLEAN,MATCH,45197.72,"Clean transaction, no discrepancy."
TXN100162,BANK_AMOUNT_MISMATCH,EXCEPTION,52387.6,Bank credited 52662.27 instead of the settled net 52387.6.
TXN100163,CLEAN,MATCH,17678.21,"Clean transaction, no discrepancy."
TXN100164,TAX_RECORD_MISSING,EXCEPTION,24750.23,No separate tax record was filed for this transaction (compliance gap).
TXN100165,CLEAN,MATCH,50426.93,"Clean transaction, no discrepancy."
TXN100166,CLEAN,MATCH,44798.44,"Clean transaction, no discrepancy."
TXN100167,CLEAN,MATCH,27681.65,"Clean transaction, no discrepancy."
TXN100168,CLEAN,MATCH,3447.62,"Clean transaction, no discrepancy."
TXN100169,CLEAN,MATCH,47874.8,"Clean transaction, no discrepancy."
TXN100170,CLEAN,MATCH,29513.6,"Clean transaction, no discrepancy."
TXN100171,LEDGER_MISMATCH,EXCEPTION,1837.83,Merchant ledger booked 1627.8 instead of the settled net 1837.83.
TXN100172,IDENTITY_NOISE,MATCH,3416.23,Merchant name differs only by formatting/legal-suffix noise; same entity.
TXN100173,DATE_ANOMALY_NORMAL,MATCH,31575.83,Settlement delayed by a few days; within normal processing window.
TXN100174,MISSING_SETTLEMENT,EXCEPTION,21639.22,Settlement record missing entirely.
TXN100175,CLEAN,MATCH,32557.14,"Clean transaction, no discrepancy."
TXN100176,CLEAN,MATCH,48294.84,"Clean transaction, no discrepancy."
TXN100177,DUPLICATE,EXCEPTION,57288.33,Duplicate payment record for same transaction.
TXN100178,DATE_ANOMALY_NORMAL,MATCH,12084.67,Settlement delayed by a few days; within normal processing window.
TXN100179,IDENTITY_NOISE,MATCH,42056.4,Merchant name differs only by formatting/legal-suffix noise; same entity.
TXN100180,PARTIAL_SETTLEMENT,EXCEPTION,54478.04,Only part of the settlement amount was paid out; remainder unexplained.
TXN100181,CLEAN,MATCH,29895.89,"Clean transaction, no discrepancy."
TXN100182,CLEAN,MATCH,48111.13,"Clean transaction, no discrepancy."
TXN100183,CLEAN,MATCH,34230.82,"Clean transaction, no discrepancy."
TXN100184,AMOUNT_MISMATCH,EXCEPTION,56506.58,Unexplained settlement drift of -152.39 not attributable to fee/tax.
TXN100185,AMOUNT_MISMATCH,EXCEPTION,31026.17,Unexplained settlement drift of -116.5 not attributable to fee/tax.
TXN100186,CLEAN,MATCH,1593.75,"Clean transaction, no discrepancy."
TXN100187,CLEAN,MATCH,24411.74,"Clean transaction, no discrepancy."
TXN100188,AMOUNT_MISMATCH,EXCEPTION,33185.28,Unexplained settlement drift of -219.57 not attributable to fee/tax.
TXN100189,FEE_MISMATCH,EXCEPTION,39666.85,Applied fee 1025.73 does not match configured fee schedule (887.57).
TXN100190,CLEAN,MATCH,16753.79,"Clean transaction, no discrepancy."
TXN100191,DATE_ANOMALY_BAD,EXCEPTION,40725.58,Settlement delayed far beyond normal processing window; requires review.
TXN100192,AMOUNT_MISMATCH,EXCEPTION,7546.63,Unexplained settlement drift of 453.09 not attributable to fee/tax.
TXN100193,MISSING_SETTLEMENT,EXCEPTION,2923.58,Settlement record missing entirely.
TXN100194,CLEAN,MATCH,12978.06,"Clean transaction, no discrepancy."
TXN100195,MISSING_SETTLEMENT,EXCEPTION,6851.98,Settlement record missing entirely.
TXN100196,CLEAN,MATCH,37677.17,"Clean transaction, no discrepancy."
TXN100197,CLEAN,MATCH,6354.9,"Clean transaction, no discrepancy."
TXN100198,AMOUNT_MISMATCH,EXCEPTION,38231.55,Unexplained settlement drift of 342.74 not attributable to fee/tax.
TXN100199,PARTIAL_SETTLEMENT,EXCEPTION,53143.09,Only part of the settlement amount was paid out; remainder unexplained.
TXN100200,DATE_ANOMALY_NORMAL,MATCH,24831.41,Settlement delayed by a few days; within normal processing window.
TXN100201,IDENTITY_NOISE,MATCH,51274.15,Merchant name differs only by formatting/legal-suffix noise; same entity.
TXN100202,AMOUNT_MISMATCH,EXCEPTION,58231.97,Unexplained settlement drift of -272.26 not attributable to fee/tax.
TXN100203,CLEAN,MATCH,11655.83,"Clean transaction, no discrepancy."
TXN100204,CLEAN,MATCH,42113.23,"Clean transaction, no discrepancy."
TXN100205,CLEAN,MATCH,10719.87,"Clean transaction, no discrepancy."
TXN100206,CLEAN,MATCH,23909.97,"Clean transaction, no discrepancy."
TXN100207,CLEAN,MATCH,54736.39,"Clean transaction, no discrepancy."
TXN100208,CLEAN,MATCH,44491.79,"Clean transaction, no discrepancy."
TXN100209,CLEAN,MATCH,38352.89,"Clean transaction, no discrepancy."
TXN100210,FEE_MISMATCH,EXCEPTION,18397.2,Applied fee 493.75 does not match configured fee schedule (303.2).
TXN100211,MISSING_SETTLEMENT,EXCEPTION,21777.61,Settlement record missing entirely.
TXN100212,LEDGER_MISMATCH,EXCEPTION,26992.12,Merchant ledger booked 27187.67 instead of the settled net 26992.12.
TXN100213,AMOUNT_MISMATCH,EXCEPTION,40148.61,Unexplained settlement drift of 286.48 not attributable to fee/tax.
TXN100214,CLEAN,MATCH,48551.84,"Clean transaction, no discrepancy."
TXN100215,CLEAN,MATCH,19602.44,"Clean transaction, no discrepancy."
TXN100216,CLEAN,MATCH,5794.22,"Clean transaction, no discrepancy."
TXN100217,CLEAN,MATCH,30386.32,"Clean transaction, no discrepancy."
TXN100218,CLEAN,MATCH,42384.44,"Clean transaction, no discrepancy."
TXN100219,CLEAN,MATCH,3137.06,"Clean transaction, no discrepancy."
TXN100220,CLEAN,MATCH,58106.82,"Clean transaction, no discrepancy."
TXN100221,AMOUNT_MISMATCH,EXCEPTION,45282.32,Unexplained settlement drift of 340.65 not attributable to fee/tax.
TXN100222,CLEAN,MATCH,51256.34,"Clean transaction, no discrepancy."
TXN100223,CLEAN,MATCH,7364.23,"Clean transaction, no discrepancy."
TXN100224,CLEAN,MATCH,49153.6,"Clean transaction, no discrepancy."
TXN100225,CLEAN,MATCH,48088.33,"Clean transaction, no discrepancy."
TXN100226,TAX_RECORD_MISSING,EXCEPTION,11404.95,No separate tax record was filed for this transaction (compliance gap).
TXN100227,CLEAN,MATCH,14443.05,"Clean transaction, no discrepancy."
TXN100228,CLEAN,MATCH,35385.59,"Clean transaction, no discrepancy."
TXN100229,AMOUNT_MISMATCH,EXCEPTION,14166.3,Unexplained settlement drift of 113.06 not attributable to fee/tax.
TXN100230,CLEAN,MATCH,14220.33,"Clean transaction, no discrepancy."
TXN100231,AMOUNT_MISMATCH,EXCEPTION,17855.56,Unexplained settlement drift of -476.83 not attributable to fee/tax.
TXN100232,IDENTITY_NOISE,MATCH,3221.99,Merchant name differs only by formatting/legal-suffix noise; same entity.
TXN100233,CLEAN,MATCH,24086.36,"Clean transaction, no discrepancy."
TXN100234,CLEAN,MATCH,49999.96,"Clean transaction, no discrepancy."
TXN100235,CLEAN,MATCH,33101.99,"Clean transaction, no discrepancy."
TXN100236,IDENTITY_NOISE,MATCH,14522.55,Merchant name differs only by formatting/legal-suffix noise; same entity.
TXN100237,BANK_AMOUNT_MISMATCH,EXCEPTION,31785.89,Bank credited 31641.93 instead of the settled net 31785.89.
TXN100238,CLEAN,MATCH,28434.89,"Clean transaction, no discrepancy."
TXN100239,IDENTITY_NOISE,MATCH,56571.65,Merchant name differs only by formatting/legal-suffix noise; same entity.
TXN100240,CLEAN,MATCH,53394.41,"Clean transaction, no discrepancy."
TXN100241,AMOUNT_MISMATCH,EXCEPTION,31641.16,Unexplained settlement drift of 167.7 not attributable to fee/tax.
TXN100242,CLEAN,MATCH,44951.4,"Clean transaction, no discrepancy."
TXN100243,CLEAN,MATCH,3123.36,"Clean transaction, no discrepancy."
TXN100244,CLEAN,MATCH,32538.63,"Clean transaction, no discrepancy."
TXN100245,CLEAN,MATCH,11917.72,"Clean transaction, no discrepancy."
TXN100246,CLEAN,MATCH,32633.24,"Clean transaction, no discrepancy."
TXN100247,AMOUNT_MISMATCH,EXCEPTION,10306.81,Unexplained settlement drift of 112.98 not attributable to fee/tax.
TXN100248,CLEAN,MATCH,49148.89,"Clean transaction, no discrepancy."
TXN100249,IDENTITY_NOISE,MATCH,8430.04,Merchant name differs only by formatting/legal-suffix noise; same entity.
TXN100250,CLEAN,MATCH,29970.23,"Clean transaction, no discrepancy."
TXN100251,DUPLICATE,EXCEPTION,1403.2,Duplicate payment record for same transaction.
TXN100252,CLEAN,MATCH,31189.91,"Clean transaction, no discrepancy."
TXN100253,CLEAN,MATCH,47094.22,"Clean transaction, no discrepancy."
TXN100254,CLEAN,MATCH,11678.04,"Clean transaction, no discrepancy."
TXN100255,CLEAN,MATCH,5049.05,"Clean transaction, no discrepancy."
TXN100256,AMOUNT_MISMATCH,EXCEPTION,17976.09,Unexplained settlement drift of -496.25 not attributable to fee/tax.
TXN100257,CLEAN,MATCH,22288.7,"Clean transaction, no discrepancy."
TXN100258,BANK_AMOUNT_MISMATCH,EXCEPTION,5305.99,Bank credited 4981.46 instead of the settled net 5305.99.
TXN100259,CLEAN,MATCH,12813.86,"Clean transaction, no discrepancy."
TXN100260,DUPLICATE,EXCEPTION,40479.26,Duplicate payment record for same transaction.
TXN100261,CLEAN,MATCH,54590.38,"Clean transaction, no discrepancy."
TXN100262,MISSING_SETTLEMENT,EXCEPTION,54189.39,Settlement record missing entirely.
TXN100263,LEDGER_MISMATCH,EXCEPTION,39627.5,Merchant ledger booked 39443.15 instead of the settled net 39627.5.
TXN100264,DUPLICATE,EXCEPTION,6150.55,Duplicate payment record for same transaction.
TXN100265,BANK_AMOUNT_MISMATCH,EXCEPTION,2204.52,Bank credited 2426.23 instead of the settled net 2204.52.
TXN100266,CLEAN,MATCH,11219.73,"Clean transaction, no discrepancy."
TXN100267,CLEAN,MATCH,46715.96,"Clean transaction, no discrepancy."
TXN100268,CLEAN,MATCH,41630.58,"Clean transaction, no discrepancy."
TXN100269,CLEAN,MATCH,6663.83,"Clean transaction, no discrepancy."
TXN100270,CLEAN,MATCH,6408.78,"Clean transaction, no discrepancy."
TXN100271,CLEAN,MATCH,6452.6,"Clean transaction, no discrepancy."
TXN100272,DATE_ANOMALY_BAD,EXCEPTION,50556.38,Settlement delayed far beyond normal processing window; requires review.
TXN100273,CLEAN,MATCH,33830.8,"Clean transaction, no discrepancy."
TXN100274,CLEAN,MATCH,16154.1,"Clean transaction, no discrepancy."
TXN100275,CLEAN,MATCH,25809.5,"Clean transaction, no discrepancy."
TXN100276,CLEAN,MATCH,15078.02,"Clean transaction, no discrepancy."
TXN100277,PARTIAL_SETTLEMENT,EXCEPTION,27179.7,Only part of the settlement amount was paid out; remainder unexplained.
TXN100278,CLEAN,MATCH,46973.29,"Clean transaction, no discrepancy."
TXN100279,IDENTITY_NOISE,MATCH,17989.93,Merchant name differs only by formatting/legal-suffix noise; same entity.
TXN100280,CLEAN,MATCH,56676.22,"Clean transaction, no discrepancy."
TXN100281,IDENTITY_NOISE,MATCH,19486.54,Merchant name differs only by formatting/legal-suffix noise; same entity.
TXN100282,IDENTITY_NOISE,MATCH,40199.44,Merchant name differs only by formatting/legal-suffix noise; same entity.
TXN100283,CLEAN,MATCH,47056.52,"Clean transaction, no discrepancy."
TXN100284,CLEAN,MATCH,37381.48,"Clean transaction, no discrepancy."
TXN100285,CLEAN,MATCH,46105.98,"Clean transaction, no discrepancy."
TXN100286,BANK_AMOUNT_MISMATCH,EXCEPTION,31378.18,Bank credited 31441.05 instead of the settled net 31378.18.
TXN100287,TAX_MISMATCH,EXCEPTION,45417.72,Applied GST 62.09 does not match expected GST (127.38).
TXN100288,CLEAN,MATCH,56469.18,"Clean transaction, no discrepancy."
TXN100289,DATE_ANOMALY_BAD,EXCEPTION,13346.71,Settlement delayed far beyond normal processing window; requires review.
TXN100290,MISSING_SETTLEMENT,EXCEPTION,22327.18,Settlement record missing entirely.
TXN100291,CLEAN,MATCH,58323.39,"Clean transaction, no discrepancy."
TXN100292,CLEAN,MATCH,7272.42,"Clean transaction, no discrepancy."
TXN100293,IDENTITY_NOISE,MATCH,46273.27,Merchant name differs only by formatting/legal-suffix noise; same entity.
TXN100294,LEDGER_MISMATCH,EXCEPTION,42637.37,Merchant ledger booked 42563.86 instead of the settled net 42637.37.
TXN100295,CLEAN,MATCH,38049.58,"Clean transaction, no discrepancy."
TXN100296,CLEAN,MATCH,19769.73,"Clean transaction, no discrepancy."
TXN100297,DUPLICATE,EXCEPTION,11346.59,Duplicate payment record for same transaction.
TXN100298,AMOUNT_MISMATCH,EXCEPTION,35059.71,Unexplained settlement drift of -367.13 not attributable to fee/tax.
TXN100299,PARTIAL_SETTLEMENT,EXCEPTION,47202.52,Only part of the settlement amount was paid out; remainder unexplained.
TXN100300,CLEAN,MATCH,15819.18,"Clean transaction, no discrepancy."
TXN100301,MISSING_SETTLEMENT,EXCEPTION,35827.06,Settlement record missing entirely.
TXN100302,DATE_ANOMALY_BAD,EXCEPTION,36528.61,Settlement delayed far beyond normal processing window; requires review.
TXN100303,CLEAN,MATCH,7319.51,"Clean transaction, no discrepancy."
TXN100304,BANK_AMOUNT_MISMATCH,EXCEPTION,30245.19,Bank credited 30343.44 instead of the settled net 30245.19.
TXN100305,CLEAN,MATCH,37587.63,"Clean transaction, no discrepancy."
TXN100306,CLEAN,MATCH,17347.95,"Clean transaction, no discrepancy."
